date,id,data,extra,feedback
11/20/13,41145F50-C0DF-5709-8D48-76480B76BC10,"28,6,3,12,19,64,15,79,27,7,12,17,4,50,21,3,1,9,25,5,10,67,2,62,24,46,17,10,14,23,13,50,31,90,11,56,26,8,30,16,7,66,32,81,9,9,8,95,6,77,22,95,5,94,23,92,16,91,18,13,29,6,20,50","1,23,8,9,15.01355,20","That was challenging but fun!"
11/20/13,C37A0222-3211-1391-795C-7647D166894E,"8,100,25,71,24,0,1,55,27,18,15,65,21,22,2,63,9,1,14,70,11,28,18,68,3,0,28,68,22,99,23,99,7,99,32,99,10,1,29,98,5,83,6,100,19,1,13,4,31,99,12,0,16,74,4,2,20,90,26,100,30,100,17,35","1,23,6,10,14.523416666666666,20","Interesting study, thanks."
11/20/13,062595D3-38F3-45C4-E4A1-76486081E189,"10,50,6,12,28,34,7,69,14,50,31,78,21,50,25,88,8,72,13,29,17,50,22,61,30,63,4,50,11,38,3,60,24,50,27,57,26,50,15,48,9,15,1,53,2,30,18,50,23,87,32,99,20,58,5,58,16,42,19,41,29,50,12,15","1,33,8,8,15.8205,20","Thank you!"
11/20/13,DBE07528-088B-D854-A056-7648AE893FF9,"2,2,4,0,7,100,8,100,19,0,29,0,3,0,1,2,6,100,24,100,26,100,5,99,10,0,27,100,16,100,15,100,23,100,28,2,18,98,30,100,11,0,12,1,20,100,14,2,13,48,32,99,31,50,25,100,21,99,22,96,17,50,9,0","2,30,9,10,16.035883333333334,20",""
11/20/13,A513CC40-550A-49B9-4173-7648AE41E1D6,"26,2,22,96,15,2,8,99,14,1,2,2,13,4,11,2,17,90,32,97,31,98,9,95,29,1,10,1,20,93,12,3,19,3,24,98,6,2,21,19,3,77,16,5,1,93,27,93,4,8,30,91,18,4,5,96,28,1,7,3,23,9,25,95","2,35,5,10,15.148816666666667,20",Thank you.
11/20/13,4A080F4B-C4EB-150E-A2A7-764966C12C8E,"19,81,26,5,9,0,6,100,7,100,22,100,14,91,29,85,18,1,5,83,1,8,8,100,21,2,2,11,16,100,24,97,23,100,28,0,12,0,25,100,17,56,4,0,15,100,13,0,27,100,30,100,10,0,3,0,20,97,32,100,11,0,31,100","2,48,2,10,16.059783333333332,20",""
11/20/13,916AC42D-952C-BB6F-99DE-764B26ADD015,"9,0,15,55,27,12,14,9,28,38,25,17,2,17,26,10,16,86,13,38,3,15,11,13,8,100,21,1,32,100,4,1,20,34,7,99,6,93,30,99,22,94,5,83,19,11,12,16,17,31,29,31,18,60,23,81,10,65,24,24,31,99,1,5","2,30,3,9,18.512983333333334,20",Fooled on a few of them.
11/20/13,A6A4FE64-51C2-2166-A81E-764B7DE8A78B,"20,0,1,0,23,100,21,0,25,100,9,0,4,1,2,99,13,0,8,99,22,100,11,50,26,100,12,0,30,97,31,98,3,0,29,97,16,97,5,96,6,98,24,2,15,98,28,50,18,23,27,0,17,2,14,0,19,1,10,2,32,99,7,98","2,34,2,10,15.2224,20","the task was good"
11/20/13,6C4A493B-92D6-8AA8-121C-764F44A6928D,"24,75,14,80,4,16,5,99,32,14,15,97,28,9,3,4,29,3,30,88,21,100,2,64,19,87,22,4,10,15,31,99,25,5,23,8,17,13,13,80,16,100,9,1,11,0,12,0,7,100,8,100,26,0,6,0,27,0,1,0,20,0,18,2","2,32,5,10,15.920833333333333,20","I enjoyed this task."
11/20/13,CDBBA374-D06F-1CF5-BD73-764E749F7C8E,"3,11,24,16,15,86,28,15,17,4,2,80,10,0,31,100,21,70,30,16,12,92,29,100,1,5,25,92,11,8,4,4,27,3,32,100,18,6,13,0,9,0,14,79,20,14,8,5,19,8,26,12,5,91,7,9,23,99,22,99,16,86,6,70","2,25,5,9,22.665233333333333,20",Very Fun Experiment
11/20/13,63687CD7-5E36-974A-8C3D-764ECD53DFA5,"17,32,8,99,2,0,13,13,4,0,21,86,32,100,5,100,9,0,31,100,1,0,25,19,10,0,16,12,7,100,6,100,19,0,28,2,23,100,24,18,14,22,12,0,3,0,30,100,27,0,26,0,20,13,15,99,29,100,22,100,18,1,11,0","2,34,6,10,20.8265,20","Had fun"
11/20/13,4BBFA492-5A8F-A3C9-1C84-764F339E48EA,"12,29,14,0,31,100,23,84,28,1,6,20,21,76,2,0,1,0,20,50,8,17,26,66,9,0,17,0,27,0,10,27,15,80,11,50,16,12,32,98,13,4,5,2,25,31,7,69,30,2,19,2,29,32,4,84,24,86,22,3,18,50,3,2","1,43,8,10,22.925766666666668,20","Very interesting! Thanks so much!"
11/20/13,25EEDDF6-70B5-D23A-8439-764FAFF3DE8D,"6,4,29,99,15,70,1,50,16,59,24,58,20,61,19,24,28,79,4,67,3,1,30,12,5,83,17,18,10,45,32,98,21,63,13,1,14,29,12,38,9,0,7,99,26,90,11,61,27,32,18,61,31,100,2,7,25,1,8,98,22,99,23,100","2,27,5,10,21.450416666666666,20",this was a fun experiment
11/20/13,924CF33F-36E9-6977-FBB3-76533020B81C,"14,67,29,78,1,3,5,4,20,89,18,98,31,76,19,69,3,17,21,62,12,20,4,4,11,30,15,99,27,4,25,80,16,72,23,99,10,26,17,1,8,99,24,34,6,16,2,31,32,50,7,99,28,25,26,32,13,0,22,65,9,2,30,28","1,38,7,10,24.819966666666666,20",""
11/20/13,3E399F21-960A-04E7-D2BC-7653715279FD,"2,71,9,0,30,100,24,74,13,0,16,100,20,0,18,100,29,0,25,0,14,75,28,24,15,100,32,100,1,0,4,0,17,0,22,100,23,100,6,100,5,100,3,0,12,21,7,100,8,100,31,100,27,0,11,0,26,100,19,0,10,0,21,100","2,29,2,10,16.310416666666665,20",""
11/20/13,7EDB432D-EDCB-9563-06C2-764CC76819A6,"26,2,13,7,31,100,19,77,6,36,1,100,10,40,4,2,18,56,28,27,22,83,20,55,2,58,5,98,23,96,7,95,12,69,29,37,24,78,9,9,27,59,8,91,30,97,17,70,21,66,11,3,16,89,15,90,3,26,32,94,25,90,14,85","1,35,8,9,28.074733333333334,20",""
11/20/13,0570A7B0-4902-9C7F-468A-765500BC86C4,"2,3,27,98,15,97,1,25,30,100,7,100,16,99,4,0,26,0,22,89,28,0,6,87,14,58,12,37,8,99,11,0,24,100,25,23,9,4,21,100,20,37,3,0,13,2,31,100,10,69,5,71,19,79,32,100,23,14,17,22,29,17,18,15","2,35,6,10,27.770783333333334,20","nice format and was kinda fun"
11/20/13,8A629C8E-61C5-AA25-381A-76563A3E4B31,"27,0,30,50,28,0,11,14,19,41,20,27,26,50,8,20,2,66,32,100,23,100,9,50,6,100,10,23,22,100,21,70,7,90,24,0,13,50,16,100,29,75,12,5,31,100,3,3,1,26,25,7,14,28,5,31,15,79,18,50,4,0,17,2","2,31,1,10,15.667466666666666,20",""
11/20/13,3FBB2AEF-8549-DF16-F38A-766CAD31EDC2,"12,44,7,91,30,91,4,5,3,6,2,32,1,19,8,78,23,22,27,91,6,6,20,31,9,4,29,14,16,85,14,0,18,15,15,98,22,100,26,37,11,1,25,0,32,98,31,98,24,0,19,4,28,18,21,94,13,74,17,8,10,24,5,96","2,33,3,8,13.021566666666667,20","Only missed a few"
11/20/13,D6A56830-C09F-29F5-D8C0-76A6076C1767,"17,84,2,0,32,79,6,73,4,32,12,65,11,73,23,82,9,0,19,4,30,13,13,32,24,75,26,39,28,56,21,50,29,20,20,61,22,65,5,73,7,89,8,84,27,63,16,82,14,37,1,23,25,41,10,31,3,6,31,100,15,100,18,63","2,27,7,10,23.99595,20",""
11/20/13,1107464F-5904-277A-96A6-76D1B02404F7,"8,17,1,36,10,74,13,85,23,32,18,8,5,0,19,7,4,0,24,0,14,64,12,100,3,10,25,100,22,19,26,59,32,23,15,91,29,100,21,14,28,100,31,100,11,99,27,100,9,100,17,14,2,0,7,0,6,54,30,81,20,0,16,100","2,26,2,10,13.6268,21",""
11/20/13,CEA539E8-2FC6-C115-E982-76D1F1FA771C,"15,76,12,100,28,100,31,100,26,94,18,61,29,66,13,87,5,0,2,9,17,4,24,1,25,95,8,97,19,3,32,23,7,0,10,89,6,8,16,99,20,0,14,67,27,100,9,100,22,5,30,66,21,23,1,19,4,3,3,19,23,5,11,100","2,26,2,10,13.983816666666666,21",""
11/20/13,DE13A115-B376-1F17-34DC-76D17C2E3C8D,"30,69,2,2,13,97,31,65,32,99,23,9,17,34,29,97,20,97,11,98,5,4,14,44,21,94,9,98,10,99,24,5,25,97,16,100,6,3,8,31,26,98,7,3,15,99,12,98,19,54,1,31,28,97,27,98,18,6,3,29,4,4,22,97","1,33,3,10,13.948216666666667,21","Cool Study!"
11/20/13,D3B4561D-B286-AC71-B49C-76D36E81AC21,"11,91,4,34,7,87,29,90,9,91,21,87,19,70,28,82,3,26,6,24,12,89,25,88,15,93,16,98,5,4,17,6,26,93,18,5,31,96,22,5,10,97,23,1,32,99,14,22,1,15,20,14,2,21,27,78,8,66,13,65,24,7,30,27","1,41,7,10,14.663466666666666,21",""
11/20/13,4AB98FA9-AD35-EE11-59E0-76D458AA756C,"7,0,6,50,29,100,1,19,2,27,12,95,31,91,26,4,14,9,23,15,17,75,25,80,8,87,10,90,24,17,28,89,15,81,3,32,20,19,11,89,16,92,19,22,22,70,13,80,32,70,30,92,4,21,9,83,27,97,5,21,21,21,18,15","2,26,1,10,13.912583333333334,21",""
11/20/13,05DAF13B-5601-3C27-87BC-76D488287504,"28,97,17,0,27,100,21,0,18,0,20,4,31,100,32,81,4,3,29,95,30,98,24,0,13,96,26,100,5,3,14,31,3,66,11,97,12,98,25,82,2,0,7,0,23,0,10,16,6,0,15,97,8,86,22,68,9,89,19,0,1,0,16,98","2,23,2,10,14.999383333333334,21",""
11/20/13,16EBF8DC-4350-0100-CF32-76D59359A8A3,"19,77,5,33,1,17,7,16,6,10,3,25,10,67,26,20,18,83,9,38,2,27,14,40,28,72,21,13,11,65,25,77,20,22,27,79,4,0,30,78,31,75,29,81,15,16,23,94,12,50,13,64,22,81,17,67,16,15,24,8,32,72,8,0","1,51,6,10,17.13695,21","N/A"
11/20/13,C474D869-A298-2C55-612C-76DAF48B77DD,"22,82,5,0,31,100,11,100,23,68,21,0,1,0,17,0,10,91,15,72,19,64,7,0,32,15,25,78,18,0,28,100,16,100,3,0,2,0,24,0,29,100,4,100,8,0,12,100,20,0,6,45,13,100,27,100,30,75,14,28,9,60,26,100","2,27,7,8,15.965116666666667,21","It was fun."
11/20/13,D2740CAD-293D-35CC-2921-76D592F96531,"2,32,27,95,11,100,13,21,12,99,28,100,18,19,16,100,5,0,6,6,17,0,23,16,3,15,15,100,9,100,14,24,29,16,25,88,7,0,4,9,8,55,21,0,10,31,32,4,22,87,20,10,31,100,26,99,30,89,1,42,19,61,24,0","1,34,7,9,17.80105,21","Many of the outcomes were very surprising to me."
11/20/13,A036FCCB-789C-9BFC-7412-76D770E108F7,"6,12,5,0,10,77,24,13,21,0,32,27,25,89,3,19,12,100,4,12,31,100,26,100,13,89,29,86,17,12,23,0,22,63,19,18,2,4,11,100,15,61,8,50,20,24,27,100,1,11,28,100,9,100,16,93,30,50,18,19,7,0,14,23","1,31,4,8,18.217083333333335,21",""
11/20/13,A386FBDC-A6FA-84CF-D6A3-76D944CB93C3,"12,100,32,82,9,100,26,100,17,0,10,63,22,92,31,100,2,23,27,100,4,0,18,59,11,100,28,100,8,0,29,100,7,0,6,54,21,0,14,0,19,0,23,0,16,100,15,100,20,9,1,78,25,100,5,0,30,100,13,100,3,0,24,0","2,26,6,10,15.225883333333334,21","Thanks really neat! "
11/20/13,C8DC6B80-47DC-CA73-649D-76DDCF021099,"18,71,27,99,32,81,12,99,2,0,31,4,25,97,7,99,20,1,16,98,21,2,10,25,3,17,6,0,22,0,5,2,9,97,28,100,23,0,30,74,11,98,1,71,26,97,24,1,13,67,8,16,19,11,29,97,15,98,14,18,4,15,17,1","2,34,2,10,25.7612,21","pretty cool study. thanks. "
